,Numero_linea_1,Catalogo_1,Clasificacion,Identificacion,Año,Dia,Fraccion_dia,Signo_derivada_1,Derivada_1,Signo_derivada_2,Derivada_2,Exponente,Signo_BSTAR,BSTAR,Exponente_BSTAR,Efemerides,Numero_elemento,Checksum_1,Numero_linea_2,Catalogo_2,Inclinacion,Ascencion,Excentricidad,Perigeo,Anomalia_media,Revoluciones_dia,Revoluciones_epoch,Checksum_2,Periodo,Semieje_mayor,Semieje_menor
1508,1,44390,U,19038D,23,334,.80621157, ,.00015400, ,00000,+0, ,11261,-2,0, 999,8,2,44390,97.8786,313.5463,0.0017286,255.6904,104.2402,15.03592996,24092.0,6,5746.2358650146,6933.9670791553,6933.943963904
1509,1,44391,U,19038E,23,333,.52648394, ,.00053771, ,00000,+0, ,22298,-2,0, 999,4,2,44391,97.8865,322.6995,0.0012593,199.3479,160.728,15.23612819,24126.0,1,5670.7320207969,6873.0930903088,6873.0701779886
1510,1,44392,U,19038G,23,334,.79474430, ,.00060244, ,00000,+0, ,14441,-2,0, 999,7,2,44392,97.6843,322.7397,0.0015285,72.6625,287.6291,15.41079238,24385.0,0,5606.4605809711,6821.0619164312,6821.0391775635
1511,1,44393,U,19038H,23,333,.92107069, ,.00066834, ,00000,+0, ,15233,-2,0, 999,4,2,44393,97.6833,322.1705,0.0015304,74.1902,286.1031,15.42566576,24394.0,7,5601.0548487341,6816.6766467652,6816.6539225163
1512,1,44394,U,19038J,23,333,.80242440, ,.00077754, ,00000,+0, ,15512,-2,0, 999,8,2,44394,97.6799,322.9374,0.0014046,71.7353,288.5422,15.46474895,24399.0,5,5586.8996179211,6805.1868681888,6805.1641822425
1513,1,44396,U,19038L,23,334,.78537188, ,.00199842, ,00000,+0, ,23877,-2,0, 999,0,2,44396,97.6396,325.3464,0.0018165,51.1427,309.1447,15.60160663,24439.0,0,5537.8911960172,6765.3316117951,6765.3090587114
1514,1,44398,U,19038N,23,334,.95864953, ,.01981195, ,32256,-2, ,25722,-2,0, 999,7,2,44398,97.6574,330.1326,0.0007935,111.594,303.183,16.07845419,24461.0,1,5373.6509106539,6630.899459569,6630.8773546317
1515,1,44399,U,19038P,23,333,.95838712, ,.00028134, ,00000,+0, ,99714,-3,0, 999,7,2,44399,97.6989,316.8278,0.0019936,92.9996,267.3525,15.2887378,24355.0,4,5651.2186375516,6857.3168395817,6857.2939798536
1516,1,44400,U,19038Q,23,333,.50434302, ,.00019028, ,00000,+0, ,74026,-3,0, 999,9,2,44400,97.7011,315.2242,0.0021175,93.2687,267.0974,15.25858528,24340.0,6,5662.3860216745,6866.3477049755,6866.3248151419
1517,1,44402,U,19038S,23,334,.72593303, ,.00188767, ,00000,+0, ,21186,-2,0, 999,8,2,44402,97.6393,325.6907,0.0015922,51.4833,308.7849,15.61874856,24441.0,3,5531.813235106,6760.3806361877,6760.3580996087
1518,1,44403,U,19038T,23,333,.97692761, ,.00140013, ,00000,+0, ,22782,-2,0, 999,8,2,44403,97.6504,323.7987,0.0017562,60.9854,299.3155,15.51998765,24416.0,7,5567.014739216,6789.0299387174,6789.0073066323
1519,1,44404,U,19038U,23,334,.77475007, ,.00081033, ,00000,+0, ,16413,-2,0, 999,0,2,44404,97.682,323.3489,0.0014875,71.7842,288.5024,15.46006096,24410.0,3,5588.5937463988,6806.562500362,6806.5398098299
